Time,Signal 1,Signal 2,Signal 3,Signal 4,Signal 5
0,2,2,2,2,2
0.033333333,1.946604175,1.909827088,1.951524486,1.928819077,1.953687728
0.066666667,1.851799816,1.75593431,1.864591943,1.805255821,1.870170884
0.1,1.719266817,1.547334449,1.742231535,1.635924352,1.752244045
0.133333333,1.55343783,1.294519204,1.58813088,1.428558537,1.603323339
0.166666667,1.359359042,1.008999373,1.406532385,1.191676064,1.427353941
0.2,1.142541421,0.702833471,1.202120913,0.934235349,1.228709366
0.233333333,0.908806695,0.3881625,0.979905673,0.665298512,1.012085061
0.266666667,0.664132265,0.076767359,0.745099225,0.393712578,0.782388823
0.3,0.414499063,-0.220336323,0.502996472,0.127819578,0.54463055
0.333333333,0.165746169,-0.493253344,0.258856388,-0.124795551,0.303813761
0.366666667,-0.076564415,-0.733503992,0.017789056,-0.357512413,0.064831187
0.4,-0.307269815,-0.934251665,-0.215349623,-0.564833228,-0.167633444
0.433333333,-0.521712646,-1.090458555,-0.436053458,-0.74248904,-0.389195514
0.466666667,-0.715829699,-1.198967759,-0.640249965,-0.887493712,-0.595849864
0.5,-0.886221515,-1.258512928,-0.82437139,-0.998147375,-0.784040002
0.533333333,-1.030202005,-1.269659146,-0.985411679,-1.07399286,-0.950715098
0.566666667,-1.145827812,-1.234680988,-1.120968671,-1.115730178,-1.093374008
0.6,-1.231907666,-1.157385677,-1.229271198,-1.125095389,-1.210095869
0.633333333,-1.287992522,-1.04289079,-1.309191083,-1.10471115,-1.299557144
0.666666667,-1.314347689,-0.897367076,-1.360240429,-1.057916778,-1.361035299
0.7,-1.311908624,-0.727757634,-1.382554876,-0.988585943,-1.394399556
0.733333333,-1.282222368,-0.541484915,-1.376863823,-0.90093995,-1.400089481
0.766666667,-1.227376904,-0.34615681,-1.344448857,-0.799364206,-1.379082356
0.8,-1.149920906,-0.149282497,-1.287091847,-0.688234753,-1.332850529
0.833333333,-1.052776473,0.041992254,-1.207014347,-0.571760839,-1.26331009
0.866666667,-0.939147491,0.221121835,-1.106810069,-0.453848425,-1.172762358
0.9,-0.812426244,0.382362656,-0.98937227,-0.337988318,-1.063829769
0.933333333,-0.67610078,0.520934765,-0.857817936,-0.227171316,-0.939387793
